Episodio,Puntaje
1257,[1423.]
1258,[982.]
1259,[2468.]
1260,[1924.]
1261,[2582.]
1262,[2499.]
1263,[2548.]
1264,[2549.]
1265,[2554.]
1266,[2507.]
1267,[2372.]
1268,[2614.]
1269,[2557.]
1270,[2466.]
1271,[2553.]
1272,[2565.]
1273,[2540.]
1274,[2554.]
1275,[2586.]
1276,[1795.]
1277,[2493.]
1278,[2540.]
1279,[2565.]
1280,[2540.]
1281,[2540.]
1282,[2560.]
1283,[1405.]
1284,[2561.]
1285,[2526.]
1286,[2533.]
1287,[2560.]
1288,[2595.]
1289,[2580.]
1290,[1006.]
1291,[2585.]
1292,[2525.]
1293,[2594.]
1294,[2581.]
1295,[2451.]
1296,[2540.]
1297,[2573.]
1298,[2585.]
1299,[2513.]
1300,[2565.]
1301,[2362.]
1302,[2578.]
1303,[1799.]
1304,[2570.]
1305,[1006.]
1306,[2539.]
1307,[2569.]
1308,[2588.]
1309,[982.]
1310,[2596.]
1311,[2587.]
1312,[2573.]
1313,[751.]
1314,[2586.]
1315,[2565.]
1316,[2599.]
1317,[2005.]
1318,[2547.]
1319,[1948.]
1320,[2533.]
1321,[2602.]
1322,[2539.]
1323,[2565.]
1324,[2565.]
1325,[2128.]
1326,[2550.]
1327,[2542.]
1328,[2563.]
1329,[2563.]
1330,[982.]
1331,[2295.]
1332,[2517.]
1333,[2463.]
1334,[2597.]
1335,[2561.]
1336,[2557.]
1337,[2563.]
1338,[2562.]
1339,[2599.]
1340,[2544.]
1341,[1401.]
1342,[2565.]
1343,[2552.]
1344,[1585.]
1345,[2562.]
1346,[2554.]
1347,[2611.]
1348,[2554.]
1349,[2592.]
1350,[1006.]
1351,[2561.]
1352,[2550.]
1353,[2580.]
1354,[2569.]
1355,[2604.]
1356,[2558.]
1357,[1427.]
1358,[2519.]
1359,[2547.]
1360,[827.]
1361,[2599.]
1362,[1006.]
1363,[2600.]
1364,[2241.]
1365,[2606.]
1366,[2573.]
1367,[2550.]
1368,[2567.]
1369,[2597.]
1370,[2263.]
1371,[1018.]
1372,[2558.]
1373,[2435.]
1374,[2553.]
1375,[2569.]
1376,[2615.]
1377,[1006.]
1378,[2463.]
1379,[977.]
1380,[1006.]
1381,[2591.]
1382,[2564.]
1383,[2577.]
1384,[2104.]
1385,[907.]
1386,[2554.]
1387,[2557.]
1388,[2622.]
1389,[2584.]
1390,[2607.]
1391,[1389.]
1392,[826.]
1393,[1006.]
1394,[2484.]
1395,[2557.]
1396,[2487.]
1397,[2580.]
1398,[2554.]
1399,[2575.]
1400,[2561.]
1401,[2486.]
1402,[2513.]
1403,[2559.]
1404,[2495.]
1405,[1980.]
1406,[2561.]
1407,[2564.]
1408,[2577.]
1409,[2573.]
1410,[2551.]
1411,[2560.]
1412,[2546.]
1413,[893.]
1414,[2585.]
1415,[2372.]
1416,[2580.]
1417,[2573.]
1418,[2263.]
1419,[2540.]
1420,[2543.]
1421,[2560.]
1422,[982.]
1423,[2563.]
1424,[2547.]
1425,[2579.]
1426,[2590.]
1427,[2562.]
1428,[2507.]
1429,[2570.]
1430,[2589.]
1431,[2540.]
1432,[2604.]
1433,[2554.]
1434,[982.]
1435,[2540.]
1436,[1006.]
1437,[2602.]
1438,[2621.]
1439,[2554.]
1440,[2572.]
1441,[1006.]
1442,[2513.]
1443,[2562.]
1444,[982.]
1445,[1829.]
1446,[2615.]
1447,[2584.]
1448,[2547.]
1449,[2575.]
1450,[2572.]
1451,[982.]
1452,[2620.]
1453,[554.]
1454,[2569.]
1455,[1127.]
1456,[2560.]
1457,[2578.]
1458,[2553.]
1459,[982.]
1460,[2540.]
1461,[2561.]
1462,[2263.]
1463,[2540.]
1464,[2615.]
1465,[2550.]
1466,[2593.]
1467,[2569.]
1468,[2607.]
1469,[2564.]
1470,[2593.]
1471,[2503.]
1472,[2540.]
1473,[2585.]
1474,[2548.]
1475,[2549.]
1476,[2585.]
1477,[2552.]
1478,[982.]
1479,[1972.]
1480,[1792.]
1481,[1006.]
1482,[2525.]
1483,[2397.]
1484,[2597.]
1485,[2606.]
1486,[2582.]
1487,[942.]
1488,[2575.]
1489,[2540.]
1490,[2575.]
