Episodio,Puntaje
1427,[2399.]
1428,[1623.]
1429,[2376.]
1430,[2404.]
1431,[2399.]
1432,[2449.]
1433,[2389.]
1434,[2399.]
1435,[2109.]
1436,[2397.]
1437,[2098.]
1438,[1796.]
1439,[2390.]
1440,[2437.]
1441,[1923.]
1442,[2063.]
1443,[2307.]
1444,[2398.]
1445,[2305.]
1446,[443.]
1447,[2117.]
1448,[2389.]
1449,[1684.]
1450,[2416.]
1451,[2380.]
1452,[2398.]
1453,[1770.]
1454,[1320.]
1455,[1019.]
1456,[710.]
1457,[2426.]
1458,[997.]
1459,[2437.]
1460,[2390.]
1461,[2437.]
1462,[1389.]
1463,[1482.]
1464,[1902.]
1465,[1583.]
1466,[1498.]
1467,[1906.]
1468,[2437.]
1469,[2428.]
1470,[2420.]
1471,[2398.]
1472,[2404.]
1473,[2389.]
1474,[2390.]
1475,[1025.]
1476,[2440.]
1477,[2507.]
1478,[2416.]
1479,[992.]
1480,[2428.]
1481,[2106.]
1482,[1426.]
1483,[2343.]
1484,[2376.]
1485,[1215.]
1486,[1192.]
1487,[2366.]
1488,[2376.]
1489,[1578.]
1490,[2437.]
1491,[2376.]
1492,[2404.]
1493,[2346.]
1494,[2399.]
1495,[923.]
1496,[1773.]
1497,[2380.]
1498,[1550.]
1499,[2193.]
1500,[2400.]
1501,[2399.]
1502,[2194.]
1503,[2101.]
1504,[1770.]
1505,[2335.]
1506,[2207.]
1507,[745.]
1508,[2189.]
1509,[2403.]
1510,[1583.]
1511,[2517.]
1512,[1821.]
1513,[2414.]
1514,[2098.]
1515,[2501.]
1516,[2101.]
1517,[2371.]
1518,[2398.]
1519,[2434.]
1520,[1854.]
1521,[2239.]
1522,[2390.]
1523,[403.]
1524,[2399.]
1525,[1578.]
1526,[2437.]
1527,[2416.]
1528,[1770.]
1529,[1770.]
1530,[2375.]
1531,[1340.]
1532,[2397.]
1533,[1607.]
1534,[2389.]
1535,[2383.]
1536,[2437.]
1537,[1605.]
1538,[2397.]
1539,[2425.]
1540,[660.]
1541,[777.]
1542,[2401.]
